date,close,open,high,low,volune,change
2020年8月31日,11644.2,11701.1,11760.2,11563.8,496.14K,-0.0049
2020年8月30日,11702,11468.1,11704.2,11462.6,409.36K,0.0204
2020年8月29日,11468.1,11527.8,11576.8,11433.5,389.85K,-0.0051
2020年8月28日,11527.4,11327.5,11539,11281.9,464.94K,0.0177
2020年8月27日,11327.4,11462.3,11580.3,11135.3,560.59K,-0.0118
2020年8月26日,11462.3,11324.9,11533.6,11254.6,513.06K,0.0121
2020年8月25日,11324.8,11752.9,11766.9,11131,594.07K,-0.0365
2020年8月24日,11753.5,11641.6,11824.6,11587.1,429.13K,0.0096
2020年8月23日,11641.6,11661.1,11705.4,11520.8,377.33K,-0.0017
2020年8月22日,11661.3,11529.2,11677,11382.1,433.98K,0.0115
2020年8月21日,11529.2,11856.9,11877.4,11495.6,506.38K,-0.0276
2020年8月20日,11856.9,11751,11881,11672.7,430.93K,0.0091
2020年8月19日,11750.2,11944.4,12013.2,11602.6,550.26K,-0.0165
2020年8月18日,11947.6,12283,12381.4,11842,606.79K,-0.0273
2020年8月17日,12282.6,11898.8,12444.1,11764,628.41K,0.0322
2020年8月16日,11899,11845.5,11922.5,11688.9,410.81K,0.0045
2020年8月15日,11845.3,11751.1,11964,11711.5,499.10K,0.008
2020年8月14日,11750.8,11771.1,11835.5,11651.5,435.44K,-0.0017
2020年8月13日,11770.9,11557.2,11772.9,11298.4,545.67K,0.0185
2020年8月12日,11557.2,11390.4,11605.4,11190.6,549.59K,0.0146
2020年8月11日,11390.4,11889.2,11931.8,11146.7,615.90K,-0.0419
2020年8月10日,11889.2,11681.1,12041.1,11546.9,564.11K,0.0178
2020年8月9日,11681.2,11764.4,11792.8,11527.5,303.00K,-0.0071
2020年8月8日,11764.3,11591.6,11805.5,11533.5,317.06K,0.0149
2020年8月7日,11592,11757.1,11901.8,11352.4,517.00K,-0.014
2020年8月6日,11757.1,11735,11898.4,11563,554.85K,0.0019
2020年8月5日,11735.1,11184.8,11771.5,11114.5,570.83K,0.0492
2020年8月4日,11184.7,11223.8,11407.8,11043,485.79K,-0.0035
2020年8月3日,11224.4,11066.9,11461.1,10981.6,470.24K,0.0142
2020年8月2日,11066.8,11802.6,12061.1,10730.7,647.95K,-0.0624
2020年8月1日,11803.1,11333.2,11847.7,11226.1,611.47K,0.0414
2020年7月31日,11333.4,11096.5,11434.8,10964.6,530.95K,0.0214
2020年7月30日,11096.2,11105.8,11164.4,10861.6,501.14K,-0.0009
2020年7月29日,11105.9,10908.4,11336.5,10771.8,576.83K,0.0181
2020年7月28日,10908.5,10961.1,11046.1,10873.6,658.37K,-0.0104
2020年7月27日,11022.8,9932.7,11367,9894.6,908.99K,0.1098
2020年7月26日,9932.5,9690,10086.6,9645.9,415.07K,0.0235
2020年7月25日,9704.1,9546.7,9729.3,9536.2,306.29K,0.0165
2020年7月24日,9546.4,9599.2,9626.2,9480.5,359.16K,-0.0055
2020年7月23日,9599.6,9513.6,9646.5,9451.1,425.66K,0.009
2020年7月22日,9513.7,9387.4,9523.1,9296,386.00K,0.0135
2020年7月21日,9387.3,9162.3,9426.9,9155.1,458.99K,0.0246
2020年7月20日,9162.4,9208.1,9218.4,9139.9,312.98K,-0.005
2020年7月19日,9208,9170.1,9224.8,9106.4,265.25K,0.0041
2020年7月18日,9170.2,9155.8,9198.8,9126.7,276.40K,0.0016
2020年7月17日,9155.8,9135.4,9181.9,9091.5,310.92K,0.0022
2020年7月16日,9135.3,9198.7,9224.2,9052,429.04K,-0.0069
2020年7月15日,9198.7,9253.6,9270.2,9168.7,429.84K,-0.0059
2020年7月14日,9253.4,9243.1,9274.8,9135.7,453.83K,0.0011
2020年7月13日,9243.6,9300.5,9329.6,9207.6,456.87K,-0.0062
2020年7月12日,9300.8,9234.2,9337.8,9170.4,366.88K,0.0073
2020年7月11日,9233.3,9285.8,9295.5,9184.2,353.92K,-0.0056
2020年7月10日,9285.1,9239,9309.8,9131.9,418.47K,0.0053
2020年7月9日,9235.7,9430.1,9434.5,9176,444.27K,-0.0206
2020年7月8日,9429.9,9256.3,9458.3,9233.1,509.94K,0.0188
2020年7月7日,9256,9338.8,9371.2,9209.3,420.55K,-0.0089
2020年7月6日,9339,9080.4,9363,9063.2,510.27K,0.0284
2020年7月5日,9081,9134.3,9149.6,8932.1,314.10K,-0.0058
2020年7月4日,9134.4,9067.1,9182.3,9049.6,261.25K,0.0074
2020年7月3日,9067.1,9085,9120.4,9050.9,333.88K,-0.002
2020年7月2日,9085.1,9229.9,9259.7,8962.1,483.10K,-0.0157
2020年7月1日,9229.9,9135.9,9289,9101.1,366.78K,0.0103
2020年6月30日,9135.4,9186,9199.8,9075.3,381.73K,-0.0054
2020年6月29日,9185.4,9122.8,9229.1,9033.6,401.12K,0.0067
2020年6月28日,9124,9008.4,9185.5,8950.2,329.01K,0.0128
2020年6月27日,9008.3,9160.5,9190.5,8865.3,441.93K,-0.0166
2020年6月26日,9160,9247.5,9296.5,9060.1,489.84K,-0.0095
2020年6月25日,9247.5,9300.8,9327.3,9022.6,524.45K,-0.0059
2020年6月24日,9302,9624.6,9667.4,9223,515.78K,-0.0335
2020年6月23日,9624.6,9683.9,9715.6,9581.8,375.49K,-0.0061
2020年6月22日,9683.7,9296.5,9751.9,9285.8,523.32K,0.0417
2020年6月21日,9296.4,9358.8,9411.2,9288.5,335.99K,-0.0067
2020年6月20日,9358.8,9314,9394.5,9199.8,383.44K,0.0048
2020年6月19日,9314,9390.3,9424,9249.6,478.49K,-0.0079
2020年6月18日,9388.1,9464.6,9480.4,9289.3,391.67K,-0.0081
2020年6月17日,9464.6,9523.6,9543.6,9258.2,446.45K,-0.0062
2020年6月16日,9523.5,9425.6,9577.1,9379.3,545.47K,0.0104
2020年6月15日,9425.4,9345.5,9489.7,8925.6,750.90K,0.0086
2020年6月14日,9345.3,9470.7,9474.7,9264.4,311.27K,-0.0133
2020年6月13日,9471.3,9466.5,9484.9,9369.9,364.97K,0.0005
2020年6月12日,9466.6,9283.7,9547.5,9249.4,529.28K,0.0197
2020年6月11日,9283.2,9878.9,9945.2,9139.1,919.30K,-0.0603
2020年6月10日,9878.8,9768.8,9970.9,9710.7,533.55K,0.0113
2020年6月9日,9768.8,9777.7,9857.2,9616.6,479.55K,-0.0009
2020年6月8日,9777.9,9743.4,9788.2,9662.3,431.04K,0.0036
2020年6月7日,9742.6,9669.6,9791.8,9417.4,549.20K,0.0076
2020年6月6日,9669.6,9630.8,9733.1,9549.5,370.85K,0.004
2020年6月5日,9631.2,9794,9846.1,9628.7,527.05K,-0.0167
2020年6月4日,9794.4,9667.2,9864.4,9490.9,593.66K,0.0132
2020年6月3日,9667.2,9527,9667.2,9421.7,558.12K,0.0147
2020年6月2日,9527.6,10190.7,10207.3,9347.3,1.06M,-0.0649
2020年6月1日,10189.3,9454.5,10301.8,9429.7,796.68K,0.0777
2020年5月31日,9454.8,9692.9,9695.6,9406.2,645.27K,-0.0245
2020年5月30日,9692.5,9424.8,9729.9,9352.7,720.62K,0.0284
2020年5月29日,9424.8,9573.4,9596.5,9358.1,814.33K,-0.0154
2020年5月28日,9572.2,9199.8,9610.8,9119.2,948.86K,0.0406
2020年5月27日,9199.1,8842.3,9210.9,8818.6,810.89K,0.0403
2020年5月26日,8842.5,8897.7,8994.6,8713.9,784.92K,-0.0063
2020年5月25日,8898.2,8728,8959.5,8666.1,941.89K,0.0195
2020年5月24日,8728.2,9177.9,9292,8724.1,1.11M,-0.0489
2020年5月23日,9177,9169.8,9303.2,9098.9,812.56K,0.0008
2020年5月22日,9169.7,9058.2,9253.5,8952.1,914.59K,0.0122
2020年5月21日,9059,9511.6,9567.1,8833.6,1.41M,-0.0476
2020年5月20日,9512.3,9773,9829.3,9368.4,1.15M,-0.0267
2020年5月19日,9773.3,9730.8,9883.9,9498.7,1.16M,0.0044
2020年5月18日,9730.7,9678.4,9930.2,9524.4,1.18M,0.0055
2020年5月17日,9677.7,9376.6,9866,9327.8,1.18M,0.0318
2020年5月16日,9379.5,9318.1,9579,9233,1.10M,0.0066
2020年5月15日,9318,9778.6,9819.6,9223.2,1.56M,-0.0471
2020年5月14日,9778.4,9298.7,9887.5,9265.8,1.77M,0.0516
2020年5月13日,9298.7,8813.9,9384.6,8799.1,1.50M,0.055
2020年5月12日,8813.8,8569.8,8964.5,8542.8,1.35M,0.0273
2020年5月11日,8579.8,8737.6,9129.6,8235.6,2.29M,-0.0182
2020年5月10日,8738.8,9553.9,9569.4,8259.3,2.47M,-0.0854
2020年5月9日,9554.6,9806,9910.5,9533.6,1.49M,-0.0257
2020年5月8日,9806.2,9980.1,10018.2,9731.4,1.42M,-0.0174
2020年5月7日,9979.8,9152.7,10033,9064.8,1.91M,0.0905
2020年5月6日,9151.4,9000.6,9373.7,8923.6,1.62M,0.0167
2020年5月5日,9001,8874.2,9078.7,8800.4,1.05M,0.0142
2020年5月4日,8874.7,8885.5,8945.5,8553.2,1.12M,-0.0012
2020年5月3日,8885.5,8966.2,9169.9,8742.2,1.15M,-0.009
2020年5月2日,8966.3,8821.6,8986.2,8771.3,890.34K,0.0164
2020年5月1日,8821.6,8628.6,9040.3,8621,1.11M,0.0223
2020年4月30日,8629,8770.6,9437.5,8425.5,2.04M,-0.0162
2020年4月29日,8770.9,7746.7,8918.5,7729.7,1.83M,0.1322
2020年4月28日,7746.9,7766,7770.1,7655.3,808.09K,-0.0025
2020年4月27日,7766,7679.4,7768.5,7637.7,980.50K,0.0113
2020年4月26日,7678.9,7540.4,7679.4,7520.5,921.59K,0.0184
2020年4月25日,7540.4,7503.9,7684.6,7451,861.93K,0.0049
2020年4月24日,7503.8,7491.3,7583.5,7423.5,951.95K,0.002
2020年4月23日,7488.5,7112.8,7655.4,7036.5,1.34M,0.0528
2020年4月22日,7112.9,6842.5,7137.4,6821.8,914.18K,0.0395
2020年4月21日,6842.5,6833.4,6919.3,6774.3,892.57K,0.0013
2020年4月20日,6833.5,7122.9,7207.5,6771.2,1.26M,-0.0406
2020年4月19日,7122.9,7230.9,7238,7079.1,5.93M,-0.0149
2020年4月18日,7230.8,7035.9,7259.4,7031.5,796.45K,0.0277
2020年4月17日,7035.8,7085.5,7142.8,7005.8,810.10K,-0.007
2020年4月16日,7085.6,6629.1,7159.7,6520.5,1.54M,0.0689
2020年4月15日,6629.1,6851.3,6929.5,6615.9,1.00M,-0.0324
2020年4月14日,6850.9,6841.8,6970.8,6768.6,999.53K,0.0014
2020年4月13日,6841.3,6918.1,6920.3,6618.5,1.25M,-0.011
2020年4月12日,6917.6,6867.9,7158.8,6785.1,1.10M,0.0073
2020年4月11日,6867.8,6862.7,6931.4,6765.1,845.58K,0.0007
2020年4月10日,6863.1,7289,7294.4,6756.1,1.37M,-0.0584
2020年4月9日,7289,7361.1,7361.1,7140.3,963.55K,-0.0098
2020年4月8日,7361.2,7185.6,7396.1,7153.1,983.94K,0.0245
2020年4月7日,7185.2,7332.3,7440.3,7101.7,1.32M,-0.0201
2020年4月6日,7332.3,6772.8,7335,6770.1,1.53M,0.0826
2020年4月5日,6772.7,6857.5,6889.4,6686,842.33K,-0.0123
2020年4月4日,6857.4,6735.9,6958.6,6679.1,1.05M,0.018
2020年4月3日,6735.9,6799.9,7026.3,6623.6,1.35M,-0.0095
2020年4月2日,6800.5,6638.8,7182.7,6567.9,1.74M,0.0244
2020年4月1日,6638.5,6412.4,6661.3,6157.4,1.40M,0.0352
2020年3月31日,6412.5,6391.1,6513.1,6346.3,1.05M,0.0034
2020年3月30日,6391,5890.4,6576.5,5872.5,1.43M,0.085
2020年3月29日,5890.4,6233.2,6258.8,5889.3,916.17K,-0.0551
2020年3月28日,6233.7,6373.4,6374.3,6046.5,1.26M,-0.0219
2020年3月27日,6373.4,6725.5,6813.7,6322.3,1.16M,-0.0523
2020年3月26日,6725.1,6677.9,6772.9,6541.7,1.18M,0.0069
2020年3月25日,6678.9,6744.8,6930.2,6474.6,1.52M,-0.0097
2020年3月24日,6744.6,6468.8,6814.2,6380.8,1.73M,0.0426
2020年3月23日,6468.9,5822,6564.7,5710.8,1.88M,0.1111
2020年3月22日,5822.1,6186.9,6394.4,5771.2,1.48M,-0.0589
2020年3月21日,6186.2,6205.6,6438.3,5887,1.64M,-0.0031
2020年3月20日,6205.3,6171.6,6858.1,5748.2,2.22M,0.0054
